DATAFLOW,LAST UPDATE,freq,indic_sbs,nace_r2,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Iceland,2023,46011.34,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Italy,2021,3617576.93,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Italy,2022,4367923.52,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Italy,2023,4177707.12,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Lithuania,2021,127164.23,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Lithuania,2022,161445.08,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Lithuania,2023,163085.5,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Luxembourg,2021,298419.23,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Luxembourg,2022,328956.06,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Luxembourg,2023,323534.78,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Latvia,2021,73384.36,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Latvia,2022,85638.31,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Latvia,2023,83119.42,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Montenegro,2022,10020.44,NaN,NaN
